word,N,N1
5informedegobierno,"[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730892628e-05]]","[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730781605e-05]]"
5informeedomex,"[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730892628e-05]]","[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730781605e-05]]"
5informeedoméx,"[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730892628e-05]]","[['5informe', 0], ['5informedegobierno', 0], ['5informeedomex', 0], ['5informeedoméx', 0], ['toinformeedomex', 1.9646989730781605e-05]]"
5toinfomeedoméx,"[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]","[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]"
5toinforme,"[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]","[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]"
5toinformedegobierno,"[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]","[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]"
5toinformeedomex,"[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]","[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]"
5toinformeedoméx,"[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]","[['5toinfomeedomex', 0], ['5toinfomeedoméx', 0], ['5toinforme', 0], ['5toinformedegobierno', 0], ['5toinformeedomex', 0]]"
5tolnformeedoméx,"[['5tolnformeedomex', 0], ['5tolnformeedoméx', 0], ['amloelfracasopresidencial', 5.3217388823023626e-05], ['amloelmejorpresidentedelmundo', 5.3217388823023626e-05], ['hdtpm', 0.00012908890832796782]]","[['5tolnformeedomex', 0], ['5tolnformeedoméx', 0], ['amloelfracasopresidencial', 5.3217388823023626e-05], ['amloelmejorpresidentedelmundo', 5.3217388823023626e-05], ['hdtpm', 0.00012908890832796782]]"
amloelmejorpresidentedelmundo,"[['amloelfracasopresidencial', 0], ['amloelmejorpresidentedelmundo', 0], ['5tolnformeedomex', 5.3217388823023626e-05], ['5tolnformeedoméx', 5.3217388823023626e-05], ['lopezobrador', 9.38840343930325e-05]]","[['amloelfracasopresidencial', 0], ['amloelmejorpresidentedelmundo', 0], ['5tolnformeedomex', 5.3217388823023626e-05], ['5tolnformeedoméx', 5.3217388823023626e-05], ['lopezobrador', 9.38840343930325e-05]]"
aplauso,"[['carcel', 0], ['aplauso', 2.220446049250313e-16], ['sigamos', 6.661338147750939e-15], ['mascotas', 2.6978419498391304e-14], ['agradecida', 5.262457136723242e-14]]","[['aplauso', 0], ['carcel', 2.220446049250313e-16], ['sigamos', 6.772360450213455e-15], ['mascotas', 2.7200464103316335e-14], ['agradecida', 5.2735593669694936e-14]]"
carcel,"[['aplauso', 0], ['carcel', 0], ['sigamos', 8.881784197001252e-15], ['mascotas', 3.11972669919669e-14], ['agradecida', 5.828670879282072e-14]]","[['carcel', 0], ['aplauso', 2.220446049250313e-16], ['sigamos', 8.881784197001252e-15], ['mascotas', 3.11972669919669e-14], ['agradecida', 5.828670879282072e-14]]"
corcholatas,"[['corcholata', 0], ['corcholatas', 0], ['pemex', 9.789962326922641e-06], ['pablolemusn', 1.1484265433181484e-05], ['jlozanoa', 1.1877588378395032e-05]]","[['corcholata', 0], ['corcholatas', 0], ['pemex', 9.789962327255708e-06], ['pablolemusn', 1.1484265433181484e-05], ['jlozanoa', 1.1877588378395032e-05]]"
cuitlahuacgj,"[['cuitlahuac', 0], ['cuitlahuacgj', 0], ['fanatismo', 0.0028018033516933327], ['cuídese', 0.003057634686084776], ['hegusave', 0.0035893870526041427]]","[['cuitlahuac', 0], ['cuitlahuacgj', 0], ['fanatismo', 0.0028018033516929997], ['cuídese', 0.003057634686084665], ['hegusave', 0.0035893870526039207]]"
debiste,"[['miente', 0], ['debiste', 2.220446049250313e-16], ['sacando', 9.992007221626409e-16], ['fabuloso', 9.50350909079134e-14], ['atento', 1.1501910535116622e-13]]","[['debiste', 0], ['miente', 1.1102230246251565e-16], ['sacando', 9.992007221626409e-16], ['fabuloso', 9.514611321037592e-14], ['atento', 1.1501910535116622e-13]]"
dedicación,"[['cartel', 2.220446049250313e-16], ['dedicación', 2.220446049250313e-16], ['electorales', 2.55351295663786e-15], ['prefiero', 5.417888360170764e-14], ['encuestas', 1.2223555501122974e-13]]","[['dedicación', 0], ['cartel', 2.220446049250313e-16], ['electorales', 2.4424906541753444e-15], ['prefiero', 5.4067861299245124e-14], ['encuestas', 1.2223555501122974e-13]]"
demagogo,"[['demagogia', 2.220446049250313e-16], ['demagogo', 2.220446049250313e-16], ['morenanarcopartido', 0.00024843158512477537], ['morenadestruyendoamexico', 0.0003755551524456946], ['claudia', 0.0005569879109206255]]","[['demagogia', 0], ['demagogo', 0], ['morenanarcopartido', 0.0002484315851249974], ['morenadestruyendoamexico', 0.0003755551524456946], ['claudia', 0.0005569879109206255]]"
diplomacia,"[['defendiendo', 0], ['diplomacia', 2.220446049250313e-16], ['reconozca', 3.219646771412954e-15], ['valen', 6.8833827526759706e-15], ['ridícula', 7.183142969324763e-14]]","[['diplomacia', 0], ['defendiendo', 2.220446049250313e-16], ['reconozca', 3.6637359812630166e-15], ['valen', 7.105427357601002e-15], ['ridícula', 7.205347429817266e-14]]"
