Palabra 	 Primeras alineaciones 	 Segundas alineaciones 
00	[['00', 0], ['sólo', 3.7613911985090454e-11], ['artículo', 8.482647917418262e-11], ['18', 2.367196438868291e-10], ['año', 2.867618364987834e-10]]	[['00', 0], ['sólo', 3.7613911985090454e-11], ['artículo', 8.482670121878755e-11], ['18', 2.367196438868291e-10], ['año', 2.867620585433883e-10]]
000	[['000', 0], ['persona', 8.046896482483135e-13], ['número', 8.061329381803262e-13], ['creo', 3.216205080036616e-12], ['informe', 2.0047741244866302e-11]]	[['000', 0], ['persona', 8.046896482483135e-13], ['número', 8.061329381803262e-13], ['creo', 3.216205080036616e-12], ['informe', 2.0047741244866302e-11]]
10	[['10', 2.220446049250313e-16], ['mal', 2.431932433211159e-11], ['plan', 9.624157026877356e-11], ['lugar', 9.762546326896882e-11], ['vida', 1.30840338563587e-10]]	[['10', 0], ['mal', 2.431932433211159e-11], ['plan', 9.624157026877356e-11], ['lugar', 9.762546326896882e-11], ['vida', 1.30840338563587e-10]]
100	[['100', 0], ['octubre', 3.872679954497471e-12], ['cabeza', 6.054823309398216e-12], ['fecha', 1.5530909891481315e-11], ['modo', 1.944000516118649e-11]]	[['100', 0], ['octubre', 3.8725689321950085e-12], ['cabeza', 6.054823309398216e-12], ['fecha', 1.5530798869178852e-11], ['modo', 1.9439783116581566e-11]]
11	[['11', 0], ['información', 1.2828205164794326e-10], ['pon', 1.6154766413478683e-10], ['desarrollo', 2.2734736315754844e-10], ['ciudad', 2.331179693726426e-10]]	[['11', 0], ['información', 1.2828205164794326e-10], ['pon', 1.6154766413478683e-10], ['desarrollo', 2.2734736315754844e-10], ['ciudad', 2.331179693726426e-10]]
12	[['12', 2.220446049250313e-16], ['hace', 2.063904602778166e-12], ['mayor', 8.265277351426903e-12], ['hecho', 5.125777580161639e-11], ['sido', 1.018171102984411e-10]]	[['12', 0], ['hace', 2.064126647383091e-12], ['mayor', 8.265388373729365e-12], ['hecho', 5.1257997846221315e-11], ['sido', 1.018171102984411e-10]]
13	[['13', 0], ['cómo', 2.8688051934011582e-11], ['primera', 5.6336824094671556e-11], ['comer', 1.1530609800303182e-10], ['primer', 1.6636170219186397e-10]]	[['13', 0], ['cómo', 2.8688051934011582e-11], ['primera', 5.633693511697402e-11], ['comer', 1.1530609800303182e-10], ['primer', 1.6636181321416643e-10]]
130	[['130', 1.1102230246251565e-16], ['despacho', 3.3306690738754696e-15], ['salarios', 1.6153745008296028e-13], ['pensión', 2.381428387820961e-13], ['tramo', 3.991251773527438e-13]]	[['130', 0], ['despacho', 3.3306690738754696e-15], ['salarios', 1.6142642778049776e-13], ['pensión', 2.3803181647963356e-13], ['tramo', 3.9890313274781874e-13]]
14	[['14', 0], ['tras', 1.0436096431476471e-12], ['hablar', 2.6235680294917074e-11], ['derechos', 1.0543854678246589e-10], ['sistema', 2.0744173045983416e-10]]	[['14', 0], ['tras', 1.0436096431476471e-12], ['hablar', 2.6235680294917074e-11], ['derechos', 1.0543854678246589e-10], ['sistema', 2.0744150841522924e-10]]
15	[['15', 0], ['personas', 7.20068449311384e-12], ['mundo', 1.6114665157829222e-11], ['toda', 1.4410150850352466e-10], ['super', 5.287481563698293e-10]]	[['15', 0], ['personas', 7.20068449311384e-12], ['mundo', 1.6114665157829222e-11], ['toda', 1.4410150850352466e-10], ['super', 5.287481563698293e-10]]
16	[['16', 0], ['primer', 5.765621313713609e-11], ['comer', 9.512546306211789e-11], ['siento', 1.448829944905583e-10], ['primera', 1.686235595599328e-10]]	[['16', 0], ['primer', 5.765621313713609e-11], ['comer', 9.512546306211789e-11], ['siento', 1.4488321653516323e-10], ['primera', 1.686235595599328e-10]]
