Palabra 	 Primeras alineaciones 	 Segundas alineaciones 
00	[['00', 0], ['sólo', 3.7613911985090454e-11], ['artículo', 8.482647917418262e-11], ['18', 2.367196438868291e-10], ['año', 2.867618364987834e-10]]	[['00', 0], ['sólo', 3.7613911985090454e-11], ['artículo', 8.482670121878755e-11], ['18', 2.367196438868291e-10], ['año', 2.867620585433883e-10]]
000	[['000', 0], ['persona', 8.046896482483135e-13], ['número', 8.061329381803262e-13], ['creo', 3.216205080036616e-12], ['informe', 2.0047741244866302e-11]]	[['000', 0], ['persona', 8.046896482483135e-13], ['número', 8.061329381803262e-13], ['creo', 3.216205080036616e-12], ['informe', 2.0047741244866302e-11]]
09	[['09', 1.1102230246251565e-16], ['cuánto', 1.2989609388114332e-14], ['bloque', 5.162537064506978e-14], ['cámara', 1.162403506782539e-13], ['esperanza', 8.268941087408166e-13]]	[['09', 0], ['cuánto', 1.2878587085651816e-14], ['bloque', 5.1514348342607263e-14], ['cámara', 1.1612932837579137e-13], ['esperanza', 8.267830864383541e-13]]
10	[['10', 2.220446049250313e-16], ['mal', 2.431932433211159e-11], ['plan', 9.624157026877356e-11], ['lugar', 9.762546326896882e-11], ['vida', 1.30840338563587e-10]]	[['10', 0], ['mal', 2.431932433211159e-11], ['plan', 9.624157026877356e-11], ['lugar', 9.762546326896882e-11], ['vida', 1.30840338563587e-10]]
100	[['100', 0], ['octubre', 3.872679954497471e-12], ['cabeza', 6.054823309398216e-12], ['dólares', 8.724798661319255e-12], ['fecha', 1.5530909891481315e-11]]	[['100', 0], ['octubre', 3.8725689321950085e-12], ['cabeza', 6.054823309398216e-12], ['dólares', 8.724687639016793e-12], ['fecha', 1.5530798869178852e-11]]
1000	[['1000', 1.1102230246251565e-16], ['rumbo', 3.4416913763379853e-15], ['mataron', 4.18554080283684e-14], ['construyó', 1.0313971898767704e-13], ['termine', 1.6775469902086115e-13]]	[['1000', 0], ['rumbo', 3.552713678800501e-15], ['mataron', 4.18554080283684e-14], ['construyó', 1.0302869668521453e-13], ['termine', 1.6764367671839864e-13]]
11	[['11', 0], ['na', 6.4079852535314785e-12], ['miembros', 1.0146394835430783e-10], ['información', 1.2828205164794326e-10], ['pon', 1.6154766413478683e-10]]	[['11', 0], ['na', 6.4079852535314785e-12], ['miembros', 1.0146417039891276e-10], ['información', 1.2828205164794326e-10], ['pon', 1.6154766413478683e-10]]
12	[['12', 2.220446049250313e-16], ['hace', 2.063904602778166e-12], ['mayor', 8.265277351426903e-12], ['hecho', 5.125777580161639e-11], ['sido', 1.018171102984411e-10]]	[['12', 0], ['hace', 2.064126647383091e-12], ['mayor', 8.265388373729365e-12], ['hecho', 5.1257997846221315e-11], ['sido', 1.018171102984411e-10]]
120	[['120', 0], ['ine', 1.0891287871572786e-13], ['comandante', 1.482147737874584e-13], ['transparencia', 1.929567616798522e-13], ['muestras', 3.643751966819764e-13]]	[['120', 0], ['ine', 1.0891287871572786e-13], ['comandante', 1.4799272918253337e-13], ['transparencia', 1.9273471707492718e-13], ['muestras', 3.6415315207705135e-13]]
13	[['13', 0], ['cómo', 2.8688051934011582e-11], ['primera', 5.6336824094671556e-11], ['comer', 1.1530609800303182e-10], ['primer', 1.6636170219186397e-10]]	[['13', 0], ['cómo', 2.8688051934011582e-11], ['primera', 5.633693511697402e-11], ['comer', 1.1530609800303182e-10], ['primer', 1.6636181321416643e-10]]
130	[['130', 1.1102230246251565e-16], ['guerras', 1.3211653993039363e-14], ['mueve', 1.3211653993039363e-14], ['garantiza', 2.9753977059954195e-14], ['salarios', 1.6153745008296028e-13]]	[['130', 0], ['guerras', 1.3100631690576847e-14], ['mueve', 1.3100631690576847e-14], ['garantiza', 2.964295475749168e-14], ['salarios', 1.6142642778049776e-13]]
