,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
0,"['[CLS] de [SEP]', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['[CLS] a [SEP]', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['[CLS] la [SEP]', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['[CLS] en [SEP]', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['[CLS] que [SEP]', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['[CLS] el [SEP]', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['[CLS] y [SEP]', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['[CLS] un [SEP]', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['[CLS] con [SEP]', array([   4., 1051.,    5.]), 1.3643280460939877e-07]","['[CLS] es [SEP]', array([   4., 1058.,    5.]), 1.5830037902730965e-07]",@CarolAntonioA
1,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 7.95080001836368e-10]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 1.4126697589489368e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 8.844426857557153e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 8.87089157686205e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.0560898755507253e-07]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 3.209873628007287e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.5522211516703095e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.6445667228601764e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.761820311920516e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.531923080142164e-07]",Llavas
2,"['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 4.409915876912862e-09]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 9.188154903583268e-09]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.072305910732041e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.2811191996142668e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 2.9944688062499836e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 3.005489956908747e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 3.068625120672408e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 3.4398732084994776e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 4.092927996524054e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 4.110937490420241e-08]",nueve
3,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 2.7510149713805276e-09]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 3.823994565443911e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.0345792778032603e-07]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.0374414116665065e-07]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.219604178759326e-07]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 3.490569503439289e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.847200881201829e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.9432801146599417e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 4.065206922199138e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.864344732569137e-07]",Diputado
4,"['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.0247363513293806e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.6477369690903743e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.6591711116120678e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.9698922937294583e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.883221583704909e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.150548955055399e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.501845635689449e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 6.1004548301824e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 6.116181194837367e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 6.729593704513093e-08]",Federal
5,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 1.4915636947776534e-08]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 1.7296965193480673e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.8955980785051452e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.9078606472433535e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 2.7310958161663734e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.6552072457098888e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.9034900600178872e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.9712480081590655e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.0577266413024375e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 2.636622395968402e-07]",ganando
6,"['[CLS] nuestro [SEP]', array([   4., 2294.,    5.]), 6.679656827657254e-12]","['[CLS] sabes [SEP]', array([   4., 2285.,    5.]), 2.6929347640702872e-11]","['[CLS] creo [SEP]', array([   4., 2275.,    5.]), 1.9318524557832006e-10]","['[CLS] dinero [SEP]', array([   4., 2312.,    5.]), 3.222255795520823e-10]","['[CLS] familia [SEP]', array([   4., 2268.,    5.]), 4.0166714398992553e-10]","['[CLS] hijo [SEP]', array([   4., 2320.,    5.]), 6.1026306230616e-10]","['[CLS] podría [SEP]', array([   4., 2321.,    5.]), 6.525130435974802e-10]","['[CLS] entonces [SEP]', array([   4., 2255.,    5.]), 9.954252977451006e-10]","['[CLS] puedes [SEP]', array([   4., 2331.,    5.]), 1.1500916885509582e-09]","['[CLS] tenemos [SEP]', array([   4., 2339.,    5.]), 1.6448226114462727e-09]",millonada
7,"['[CLS] mío [SEP]', array([   4., 2895.,    5.]), 4.9768078547174355e-11]","['[CLS] esas [SEP]', array([   4., 2899.,    5.]), 8.487166525128487e-11]","['[CLS] alguna [SEP]', array([   4., 2859.,    5.]), 1.5973100619959268e-10]","['[CLS] conmigo [SEP]', array([   4., 2912.,    5.]), 2.619517935897875e-10]","['[CLS] gusta [SEP]', array([   4., 2816.,    5.]), 1.3557640565764473e-09]","['[CLS] amor [SEP]', array([   4., 2807.,    5.]), 1.761972789893207e-09]","['[CLS] policía [SEP]', array([   4., 2962.,    5.]), 1.8004105983848717e-09]","['[CLS] hemos [SEP]', array([   4., 2972.,    5.]), 2.263336629226842e-09]","['[CLS] hacerlo [SEP]', array([   4., 2791.,    5.]), 2.6237627626102267e-09]","['[CLS] dije [SEP]', array([   4., 2989.,    5.]), 3.1628418772911004e-09]",promocionas
8,"['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 9.7226605655365e-09]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.58101696179358e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.5922176244131947e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.0442869175241185e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.973080415191731e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.244449997552579e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.600806064429918e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 6.230849636246205e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 6.246743078364148e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 6.866512658465496e-08]",usando
9,"['[CLS] papá [SEP]', array([   4., 3538.,    5.]), 6.43629594065942e-12]","['[CLS] espera [SEP]', array([   4., 3540.,    5.]), 1.0627498880921848e-11]","['[CLS] mamá [SEP]', array([   4., 3552.,    5.]), 5.7471027936628616e-11]","['[CLS] claro [SEP]', array([   4., 3459.,    5.]), 7.123925893637306e-10]","['[CLS] muerto [SEP]', array([   4., 3435.,    5.]), 1.284234940612805e-09]","['[CLS] veo [SEP]', array([   4., 3639.,    5.]), 1.4482349763866864e-09]","['[CLS] crees [SEP]', array([   4., 3660.,    5.]), 2.0425510172117356e-09]","['[CLS] allá [SEP]', array([   4., 3665.,    5.]), 2.1979473796562843e-09]","['[CLS] chica [SEP]', array([   4., 3404.,    5.]), 2.2886732509164176e-09]","['[CLS] puerta [SEP]', array([   4., 3399.,    5.]), 2.4797105480089954e-09]",necesidad
