palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
de,"['de', 0]","['.', 2.0782375820260768e-11]","['e', 2.0865087435595342e-11]","['l', 8.29656343626084e-11]","['p', 3.3055203019216606e-10]"
que,"['que', 0]","['el', 7.379086230940857e-11]","['en', 7.436162796636836e-11]","['y', 2.9403146584172646e-10]","['n', 4.585435364745649e-10]"
la,"['la', 0]","['t', 1.9063750578141025e-11]","['q', 1.709112851244754e-10]","['m', 1.7291401643859672e-10]","['en', 6.796917473295139e-10]"
y,"['y', 0]","['n', 1.820121831030974e-11]","['E', 7.266531820704358e-11]","['el', 7.322542572296697e-11]","['h', 1.631844659399917e-10]"
a,"['a', 0]","['p', 2.0455970251020972e-11]","['c', 1.8265777779191694e-10]","['l', 1.8483437003169456e-10]","[',', 3.240868684528664e-10]"
@LillyTellez,"['@LillyTellez', 0]","['@LillyTellez,', 0]","['@LillyTellez.', 0]","['VALE', 1.1977787392813966e-05]","['lambiscona', 5.637871613972667e-05]"
@Claudiashein,"['@Claudiashein', 0]","['@Claudiashein,', 0]","['@edelamadrid', 0.00038879586748441497]","['#linea12', 0.0008621220626062742]","['sísmica', 0.001008606968308401]"
el,"['el', 0]","['y', 7.322542572296697e-11]","['que', 7.379086230940857e-11]","['n', 1.644414604484723e-10]","['E', 2.9178048865929895e-10]"
no,"['no', 0]","['N', 1.5598744518285912e-11]","['par', 2.5096913436328805e-10]","['las', 3.8568470639432917e-10]","['su', 3.9286662811832684e-10]"
en,"['en', 0]","['que', 7.436162796636836e-11]","['q', 1.6893741960899433e-10]","['el', 2.9630409237313415e-10]","['t', 4.710930534557178e-10]"
los,"['los', 0]","['?', 1.674260730055721e-11]","['¿', 6.659428564148584e-11]","['P', 1.495568113796253e-10]","['se', 1.5125145580441313e-10]"
se,"['se', 0]","['?', 6.734923729823095e-11]","['los', 1.5125145580441313e-10]","['C', 1.5297019206883533e-10]","['es', 2.7246138678549414e-10]"
es,"['es', 0]","['C', 1.7125412199447965e-11]","['S', 1.7190360246388536e-11]","['v', 6.889144810173775e-11]","['se', 2.7246138678549414e-10]"
por,"['por', 0]","['M', 1.4872103548668747e-11]","['1', 5.981526385312463e-11]","['di', 2.3665780446435747e-10]","['al', 3.75903752569684e-10]"
lo,"['lo', 0]","['2', 1.393440918207034e-11]","['d', 5.5637716656065095e-11]","['si', 5.603861819025724e-11]","['""', 1.249608194697771e-10]"
para,"['para', 0]","['pro', 1.413613670564473e-11]","['si', 5.644329448273311e-11]","['una', 5.685163451119024e-11]","['lo', 2.2496338125677084e-10]"
con,"['con', 0]","['un', 7.074696384279378e-11]","['v', 4.3632641943958106e-10]","['S', 6.271219099573955e-10]","['h', 6.41606767715075e-10]"
@kenialopezr,"['@kenialopezr', 0]","['@delfinagomeza', 8.16054284424883e-06]","['CÍNICA', 1.721325912862337e-05]","['calumnias', 2.5011870166791184e-05]","['@FGRMexico', 3.236299759279415e-05]"
@lopezobrador_,"['@lopezobrador_', 0]","['@lopezdoriga', 0]","['@lopezobrador', 0]","['@lopezobrador_,', 0]","['@lopezobrador_.', 0]"
del,"['del', 0]","['re', 1.624866907690148e-11]","['o', 6.487355097561931e-11]","['A', 6.535949559349774e-11]","['in', 1.4569412343234944e-10]"
te,"['te', 0]","['ma', 9.078848783872218e-12]","['19', 3.62566643374862e-11]","['3', 1.4456058572420716e-10]","['pre', 2.2551338574317015e-10]"
un,"['un', 0]","['con', 7.074696384279378e-11]","['h', 2.8624691505996225e-10]","['E', 4.481179871618224e-10]","['n', 6.46527831271726e-10]"
su,"['su', 0]","['par', 1.583122521964242e-11]","['L', 1.5890067039947553e-11]","['N', 2.518990571687141e-10]","['in', 2.5566215811068105e-10]"
una,"['una', 0]","['para', 5.685163451119024e-11]","['pro', 1.2768586188371955e-10]","['T', 1.2907619417745764e-10]","['si', 2.2658919185403192e-10]"
las,"['las', 0]","['D', 1.525801707202845e-11]","['al', 6.092026882953405e-11]","['1', 3.786663205218588e-10]","['no', 3.8568470639432917e-10]"
como,"['como', 0]","['U', 1.0921263893237665e-11]","['I', 4.390698915557323e-11]","['En', 9.79601955108933e-11]","[':', 9.895806396542639e-11]"
tu,"['tu', 0]","['qué', 3.0577096410411286e-11]","['ver', 3.076672250301726e-11]","['sus', 3.7982750278331423e-10]","['Qué', 1.3223176997811947e-09]"
Y,"['Y', 0]","['ex', 1.129796256549298e-11]","['Es', 4.496181205126959e-11]","['V', 1.8169465931805462e-10]","[':', 4.019189425719105e-10]"
al,"['al', 0]","['D', 1.5202172853889806e-11]","['las', 6.092026882953405e-11]","['1', 1.3582057700745054e-10]","['por', 3.75903752569684e-10]"
ya,"['ya', 0]","['gran', 3.58224561125553e-11]","['contra', 2.510975871672372e-10]","['Le', 4.0171210802242285e-10]","['era', 5.620348630941407e-10]"
No,"['No', 0]","['!', 5.349531928544593e-11]","['me', 2.1322388299438444e-10]","['ha', 4.78058814756821e-10]","['""', 8.713192389819824e-10]"
si,"['si', 0]","['pro', 1.4085399513419361e-11]","['lo', 5.603861819025724e-11]","['para', 5.644329448273311e-11]","['2', 1.2586109932044565e-10]"
le,"['le', 0]","['ten', 9.347078666621655e-12]","['vi', 8.35799207621335e-11]","['te', 5.895617327666969e-10]","['ma', 7.449619809918318e-10]"
más,"['más', 0]","['an', 9.816591983735634e-12]","['O', 9.996575789372741e-10]","['ten', 2.1588019150087234e-09]","['le', 2.452251068874034e-09]"
@rocionahle,"['@rocionahle', 0]","['condolencias', 9.522690870644723e-05]","['@CFEmx', 0.00011002757065048385]","['Asquerosa', 0.00015570830259192814]","['@VicenteFoxQue', 0.00015724499478009246]"
@XochitlGalvez,"['@XochitlGalvez', 0]","['@JesusRCuevas', 2.58714077949751e-06]","['@hdemauleon', 2.880912961078508e-06]","['titere', 5.202562697093072e-06]","['tweet', 6.992486039969492e-06]"
@rosaicela_,"['@rosaicela_', 0]","['VOTAR', 6.8763348937128654e-06]","['@SeleneAvilaF', 0.00012899387165987708]","['Gálvez', 0.00013707431617526744]","['@ProsocCDMX', 0.00023636950395977685]"
Que,"['Que', 0]","['toda', 1.5806800313100666e-11]","['tanto', 4.3533843196996713e-11]","['mundo', 1.431775809024316e-10]","['otra', 2.1434276575860167e-10]"
@AndreaChavezTre,"['@AndreaChavezTre', 0]","['@guerrerochipres', 4.5378603560575215e-05]","['@terrazas_prieto', 0.00020256537012663944]","['@SEGOB_mx', 0.00021718547308025027]","['@SenadoPRI', 0.0002235763059571516]"
pero,"['pero', 0]","['mis', 6.387002038366063e-12]","['5', 2.5586199825511358e-11]","['esta', 1.0144274309453749e-10]","['r', 4.033925415924955e-10]"
ni,"['ni', 0]","['Lo', 9.484724117214682e-11]","['fin', 1.4841405882037861e-10]","['entre', 4.712308321330738e-10]","['Di', 7.019176351263923e-10]"
o,"['o', 0]","['in', 1.6127987834124724e-11]","['re', 1.6188050899756945e-11]","['del', 6.487355097561931e-11]","['L', 2.5661384128738973e-10]"
sus,"['sus', 0]","['ver', 1.9438994858234082e-10]","['Qué', 2.847495572666503e-10]","['tu', 3.7982750278331423e-10]","['qué', 6.259418539045214e-10]"
son,"['son', 0]","['Al', 5.540790048996769e-12]","['aquí', 5.00093300104254e-11]","['eso', 8.903255910297503e-11]","['hacer', 1.3734202664039685e-10]"
@ruizmassieu,"['@ruizmassieu', 0]","['@AccionNacional', 0.0003182053703687515]","['@SalmaLuevano', 0.0005327909580092882]","['@Pemex', 0.0006468578436251704]","['SENADO', 0.0007326170392085718]"
La,"['La', 0]","['ser', 4.160993771762378e-11]","['O', 6.591501788832943e-10]","['En', 1.2864191933914526e-09]","['U', 1.802804128203661e-09]"
usted,"['usted', 0]","['mes', 1.503908109157237e-12]","['asi', 5.996869667512783e-12]","['menos', 6.0215166186594615e-12]","['solo', 1.3562262424215987e-11]"
solo,"['solo', 0]","['menos', 1.5099033134902129e-12]","['tres', 1.5131229602616258e-12]","['mes', 6.034062138837726e-12]","['usted', 1.3562262424215987e-11]"
eso,"['eso', 0]","['aquí', 5.588418616753188e-12]","['Al', 5.015221571369466e-11]","['todo', 5.058398144797138e-11]","['son', 8.903255910297503e-11]"
está,"['está', 0]","['Se', 3.358235911576912e-11]","['sobre', 7.496636644788168e-11]","['De', 2.108906382858322e-10]","['200', 2.984530400595986e-10]"
todo,"['todo', 0]","['eso', 5.058398144797138e-11]","['aquí', 8.979872401226885e-11]","['Di', 9.083322982661457e-11]","['Al', 2.0147161716721484e-10]"
Ya,"['Ya', 0]","['puedo', 3.4968250517408705e-11]","['Sr', 5.4086068956848976e-11]","['va', 5.46996892225593e-11]","['cada', 1.3799450471196906e-10]"
ser,"['ser', 0]","['La', 4.160993771762378e-11]","['O', 3.695370676126686e-10]","['En', 1.7907503258030033e-09]","['U', 2.39218922448714e-09]"
qué,"['qué', 0]","['tu', 3.0577096410411286e-11]","['ver', 1.2268774884915956e-10]","['sus', 6.259418539045214e-10]","['bien', 1.675651284394064e-09]"
",","[',', 0]","['c', 2.013589295302154e-11]","['s', 1.7980539279705e-10]","['a', 3.240868684528664e-10]","['p', 5.07386910264529e-10]"
A,"['A', 0]","['del', 6.535949559349774e-11]","['P', 6.584988110347467e-11]","['re', 1.467848065317412e-10]","['¿', 1.4844026008375977e-10]"
eres,"['eres', 0]","['especial', 1.0090817070818048e-12]","['bus', 9.047318449972863e-12]","['nivel', 1.6069034991517128e-11]","['Como', 2.5319080165786545e-11]"
sin,"['sin', 0]","['vez', 4.049305335485087e-11]","['dos', 1.639598457003899e-10]","['Te', 2.1927482052319647e-10]","['cuando', 3.6149960802589476e-10]"
tiene,"['tiene', 0]","['algo', 4.108158258020467e-12]","['Le', 6.546962971754056e-11]","['Su', 6.616618364319038e-11]","['así', 1.4926959668315476e-10]"
me,"['me', 0]","['ha', 5.274203296323776e-11]","['!', 5.311695527865368e-11]","['No', 2.1322388299438444e-10]","[')', 4.713377466103452e-10]"
esta,"['esta', 0]","['r', 1.0025547059200335e-10]","['pero', 1.0144274309453749e-10]","['mis', 1.5873835579327533e-10]","['este', 2.249140873544775e-10]"
les,"['les', 0]","['siempre', 3.1682101386820705e-11]","['soy', 6.283695785924692e-11]","['ellos', 1.0407930073341731e-10]","['pueden', 1.5578527357007488e-10]"
porque,"['porque', 0]","['estado', 1.7810974917154e-11]","['había', 9.591016869592295e-11]","['tú', 1.6136358915730398e-10]","['Para', 3.2862601528904634e-10]"
va,"['va', 0]","['puedo', 2.1979085218504224e-12]","['estoy', 3.5365821382526974e-11]","['Ya', 5.46996892225593e-11]","['deber', 5.53219692278617e-11]"
