,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
0,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@CarolAntonioA
1,"['fuéramos', array([4.0000e+00, 2.6164e+04, 5.0000e+00]), 5.1600945738528026e-12]","['habríamos', array([4.0000e+00, 2.6968e+04, 5.0000e+00]), 5.521638701821985e-11]","['tuyas', array([4.000e+00, 2.711e+04, 5.000e+00]), 6.905886973385122e-11]","['fuesen', array([4.0000e+00, 2.4093e+04, 5.0000e+00]), 1.5885004422955262e-10]","['habrás', array([4.0000e+00, 2.7977e+04, 5.0000e+00]), 1.8186763206529122e-10]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.8216905761647695e-10]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.8216905761647695e-10]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.8216905761647695e-10]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.8216905761647695e-10]","['tuviéramos', array([4.000e+00, 2.868e+04, 5.000e+00]), 3.045980134785964e-10]",Llavas
2,"['tuyo', array([4.000e+00, 6.708e+03, 5.000e+00]), 2.5357493882438575e-13]","['hubier', array([4.000e+00, 6.619e+03, 5.000e+00]), 7.34833305315874e-11]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 3.59436036490024e-10]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 3.59436036490024e-10]","['vosotros', array([4.000e+00, 6.901e+03, 5.000e+00]), 3.755959987472579e-10]","['seas', array([4.000e+00, 6.403e+03, 5.000e+00]), 1.0015902551785416e-09]","['tendrán', array([4.000e+00, 6.387e+03, 5.000e+00]), 1.1168502789260515e-09]","['tuve', array([4.000e+00, 6.318e+03, 5.000e+00]), 1.6942472980119305e-09]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 2.9768156828424708e-09]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 2.9768156828424708e-09]",nueve
3,"['todos', array([   4., 1495.,    5.]), 2.5984692175740065e-10]","['tiene', array([   4., 1512.,    5.]), 3.215153698832296e-10]","['algo', array([   4., 1513.,    5.]), 3.9640801752227617e-10]","['cuando', array([   4., 1486.,    5.]), 1.1876272187905101e-09]","['ya', array([   4., 1526.,    5.]), 2.0614222551174066e-09]","['hu', array([   4., 1529.,    5.]), 2.623929185041618e-09]","['sin', array([   4., 1477.,    5.]), 2.811936794522296e-09]","['contra', array([   4., 1534.,    5.]), 3.7058951463109224e-09]","['era', array([   4., 1538.,    5.]), 4.6994160785018835e-09]","['era', array([   4., 1538.,    5.]), 4.6994160785018835e-09]",años
4,"['tuviéramos', array([4.000e+00, 2.868e+04, 5.000e+00]), 4.624289839938456e-11]","['habrás', array([4.0000e+00, 2.7977e+04, 5.0000e+00]), 1.1593093152129086e-10]","['tuyas', array([4.000e+00, 2.711e+04, 5.000e+00]), 2.541722388116341e-10]","['habríamos', array([4.0000e+00, 2.6968e+04, 5.0000e+00]), 2.8298563492512585e-10]","['fuéramos', array([4.0000e+00, 2.6164e+04, 5.0000e+00]), 4.83179829480207e-10]","['fuesen', array([4.0000e+00, 2.4093e+04, 5.0000e+00]), 1.3584033897728887e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.4250589597253338e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.4250589597253338e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.4250589597253338e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.4250589597253338e-09]",Diputado
5,"['tuvieron', array([4.000e+00, 7.565e+03, 5.000e+00]), 9.129585976097587e-12]","['estés', array([4.000e+00, 7.472e+03, 5.000e+00]), 1.9604651235738402e-11]","['estados', array([4.000e+00, 7.676e+03, 5.000e+00]), 1.3633649764699385e-10]","['tengas', array([4.000e+00, 7.368e+03, 5.000e+00]), 1.6850165707182896e-10]","['eras', array([4.000e+00, 7.714e+03, 5.000e+00]), 2.1263424354600602e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 3.371591894563153e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 3.371591894563153e-10]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 3.757956168470855e-10]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 3.757956168470855e-10]","['fuiste', array([4.000e+00, 8.024e+03, 5.000e+00]), 1.388162695903361e-09]",Federal
6,"['estuviste', array([4.000e+00, 1.349e+04, 5.000e+00]), 3.552713678800501e-13]","['estuviste', array([4.000e+00, 1.349e+04, 5.000e+00]), 3.552713678800501e-13]","['vuestros', array([4.0000e+00, 1.3573e+04, 5.0000e+00]), 2.120970066243899e-12]","['estemos', array([4.0000e+00, 1.3704e+04, 5.0000e+00]), 2.1577406528194842e-11]","['éramos', array([4.000e+00, 1.373e+04, 5.000e+00]), 2.7781221767497755e-11]","['nosotras', array([4.0000e+00, 1.3115e+04, 5.0000e+00]), 1.03895114733632e-10]","['tuviste', array([4.0000e+00, 1.3969e+04, 5.0000e+00]), 1.1909073727167652e-10]","['tuviste', array([4.0000e+00, 1.3969e+04, 5.0000e+00]), 1.1909073727167652e-10]","['habrían', array([4.0000e+00, 1.3021e+04, 5.0000e+00]), 1.6091283860930616e-10]","['sois', array([4.0000e+00, 1.4185e+04, 5.0000e+00]), 2.511725272213994e-10]",ganando
7,"['nuestro', array([   4., 2294.,    5.]), 6.679656827657254e-12]","['tenemos', array([   4., 2339.,    5.]), 1.6448226114462727e-09]","['tenía', array([   4., 2345.,    5.]), 2.0710896331266326e-09]","['tenía', array([   4., 2345.,    5.]), 2.0710896331266326e-09]","['fueron', array([   4., 2351.,    5.]), 2.5438665618437994e-09]","['nuestra', array([   4., 2367.,    5.]), 4.026500688425472e-09]","['será', array([   4., 2218.,    5.]), 4.230768957391717e-09]","['ante', array([   4., 2379.,    5.]), 5.344088060965646e-09]","['tienen', array([   4., 2179.,    5.]), 1.0318537135844963e-08]","['fuera', array([   4., 2171.,    5.]), 1.1932717591811581e-08]",millonada
8,"['mío', array([   4., 2895.,    5.]), 4.9768078547174355e-11]","['esas', array([   4., 2899.,    5.]), 8.487166525128487e-11]","['algunas', array([   4., 2943.,    5.]), 1.0603294908761995e-09]","['os', array([   4., 2821.,    5.]), 1.1540243205487855e-09]","['hemos', array([   4., 2972.,    5.]), 2.263336629226842e-09]","['sería', array([   4., 3026.,    5.]), 5.589191109933722e-09]","['sería', array([   4., 3026.,    5.]), 5.589191109933722e-09]","['sería', array([   4., 3026.,    5.]), 5.589191109933722e-09]","['muchos', array([   4., 2720.,    5.]), 8.754948099820581e-09]","['nuestros', array([   4., 3070.,    5.]), 9.255519906048448e-09]",promocionas
9,"['tuvieron', array([4.000e+00, 7.565e+03, 5.000e+00]), 1.567634910770721e-13]","['estés', array([4.000e+00, 7.472e+03, 5.000e+00]), 4.97507590679902e-11]","['estados', array([4.000e+00, 7.676e+03, 5.000e+00]), 8.191347600217114e-11]","['eras', array([4.000e+00, 7.714e+03, 5.000e+00]), 1.4295242767303762e-10]","['tengas', array([4.000e+00, 7.368e+03, 5.000e+00]), 2.4356394678903825e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 2.476274740814688e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 2.476274740814688e-10]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 4.844911138945918e-10]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 4.844911138945918e-10]","['fuiste', array([4.000e+00, 8.024e+03, 5.000e+00]), 1.199399246587518e-09]",usando
10,"['tenido', array([   4., 3525.,    5.]), 4.763633931759159e-12]","['tenido', array([   4., 3525.,    5.]), 4.763633931759159e-12]","['habían', array([   4., 3542.,    5.]), 1.585775954993096e-11]","['tuvi', array([   4., 3573.,    5.]), 2.2718937842114428e-10]","['esté', array([   4., 3446.,    5.]), 1.0003748940334845e-09]","['esté', array([   4., 3446.,    5.]), 1.0003748940334845e-09]","['sean', array([   4., 3702.,    5.]), 3.5081251237301103e-09]","['estaban', array([   4., 3760.,    5.]), 6.098892946226897e-09]","['tuvo', array([   4., 3322.,    5.]), 6.508017347250927e-09]","['hubiera', array([   4., 3794.,    5.]), 7.900827769802277e-09]",necesidad
