Palabra 	 Primeras alineaciones 	 Segundas alineaciones 
de	[['de', 2.220446049250313e-16], ['.', 2.0782375820260768e-11], ['e', 2.0865087435595342e-11], ['l', 8.29656343626084e-11], ['p', 3.305519191698636e-10]]	[['de', 0], ['.', 2.0782375820260768e-11], ['e', 2.0865087435595342e-11], ['l', 8.29656343626084e-11], ['p', 3.3055203019216606e-10]]
que	[['que', 0], ['el', 7.379097333171103e-11], ['en', 7.436173898867082e-11], ['y', 2.9403146584172646e-10], ['n', 4.585435364745649e-10]]	[['que', 0], ['el', 7.379086230940857e-11], ['en', 7.436162796636836e-11], ['y', 2.9403146584172646e-10], ['n', 4.585435364745649e-10]]
la	[['la', 1.1102230246251565e-16], ['t', 1.9063861600443488e-11], ['q', 1.709112851244754e-10], ['m', 1.7291412746089918e-10], ['en', 6.796917473295139e-10]]	[['la', 0], ['t', 1.9063750578141025e-11], ['q', 1.709112851244754e-10], ['m', 1.7291401643859672e-10], ['en', 6.796917473295139e-10]]
y	[['y', 2.220446049250313e-16], ['n', 1.820110728800728e-11], ['E', 7.266531820704358e-11], ['el', 7.322542572296697e-11], ['h', 1.631844659399917e-10]]	[['y', 0], ['n', 1.820121831030974e-11], ['E', 7.266531820704358e-11], ['el', 7.322542572296697e-11], ['h', 1.631844659399917e-10]]
a	[['a', 0], ['p', 2.0455970251020972e-11], ['c', 1.8265777779191694e-10], ['l', 1.8483437003169456e-10], [',', 3.240868684528664e-10]]	[['a', 0], ['p', 2.0455970251020972e-11], ['c', 1.8265777779191694e-10], ['l', 1.8483437003169456e-10], [',', 3.240868684528664e-10]]
@LillyTellez	[['@LillyTellez', 0], ['@LillyTellez,', 0], ['@LillyTellez.', 0], ['VALE', 1.1977787392591921e-05], ['lambiscona', 5.637871613972667e-05]]	[['@LillyTellez', 0], ['@LillyTellez,', 0], ['@LillyTellez.', 0], ['VALE', 1.1977787392813966e-05], ['lambiscona', 5.637871613972667e-05]]
@Claudiashein	[['@Claudiashein', 2.220446049250313e-16], ['@Claudiashein,', 2.220446049250313e-16], ['@edelamadrid', 0.0003887958674841929], ['#linea12', 0.0008621220626062742], ['sísmica', 0.0010086069683082899]]	[['@Claudiashein', 0], ['@Claudiashein,', 0], ['@edelamadrid', 0.00038879586748441497], ['#linea12', 0.0008621220626062742], ['sísmica', 0.001008606968308401]]
el	[['el', 1.1102230246251565e-16], ['y', 7.322542572296697e-11], ['que', 7.379097333171103e-11], ['n', 1.644414604484723e-10], ['E', 2.917805996816014e-10]]	[['el', 0], ['y', 7.322542572296697e-11], ['que', 7.379086230940857e-11], ['n', 1.644414604484723e-10], ['E', 2.9178048865929895e-10]]
no	[['no', 0], ['N', 1.5598744518285912e-11], ['par', 2.5096935640789297e-10], ['las', 3.8568470639432917e-10], ['su', 3.9286662811832684e-10]]	[['no', 0], ['N', 1.5598744518285912e-11], ['par', 2.5096913436328805e-10], ['las', 3.8568470639432917e-10], ['su', 3.9286662811832684e-10]]
en	[['en', 0], ['que', 7.436173898867082e-11], ['q', 1.689375306312968e-10], ['el', 2.9630409237313415e-10], ['t', 4.710930534557178e-10]]	[['en', 0], ['que', 7.436162796636836e-11], ['q', 1.6893741960899433e-10], ['el', 2.9630409237313415e-10], ['t', 4.710930534557178e-10]]
