,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1560644406109020160,1560644406109020160,1660921596000.0,2022-08-19 10:06:36,-0500,,"@AlmiranteSrio Jose Rafael Ojeda Duran informa de la presencia de la Marina en tierra, mar y aire de su presencia en las aduanas  https://t.co/mEgjILGr5U",es,[],[],1108264153532252160,1108264153532252160,lordmolecula,Lord Molécula Oficial,5,10,https://twitter.com/lordmolecula/status/1560644406109020160,[],['https://pbs.twimg.com/media/FaiFzuAWQAAzQYr.jpg'],1,https://pbs.twimg.com/media/FaiFzuAWQAAzQYr.jpg,False,5,0,2,,None,,,,,,,[],,,,
1,1560178910637219846,1554174265066491905,1660810613000.0,2022-08-18 03:16:53,-0500,,@AlmiranteSrio Son Puro Latino Su Trabajo.,es,[],[],1557986252577820672,1557986252577820672,Marco41051835,Marco,4,03,https://twitter.com/Marco41051835/status/1560178910637219846,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
2,1560178849534693381,1554174265066491905,1660810599000.0,2022-08-18 03:16:39,-0500,,@AlmiranteSrio Son Puro Latino Su Trabajo,es,[],[],1557986252577820672,1557986252577820672,Marco41051835,Marco,4,03,https://twitter.com/Marco41051835/status/1560178849534693381,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
3,1559963661866762240,1554174265066491905,1660759294000.0,2022-08-17 13:01:34,-0500,,@AlmiranteSrio @AlmiranteSrio y @SEMAR_mx  PAGUENLE BIEN A SUS MARINOS PARA QUE NO OCUPEN DE MOTEL EL CLUB NAVAL DE COATZACOALCOS ...NI PAL MOTEL TIENEN ... 😂🤣,es,[],[],1518665434823860228,1518665434823860228,rafaelm91397079,rafael martinez rodriguez,3,13,https://twitter.com/rafaelm91397079/status/1559963661866762240,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
4,1559537718048264193,1554174265066491905,1660657741000.0,2022-08-16 08:49:01,-0500,,"@AlmiranteSrio @AlmiranteSrio  investigue esa situación, precisamente la madre de un marino fue llevada a ese lugar y citada como motel teniendo cerca el motel marina de la ciudad de coatzacoalcos,es una verguenza o lo investiga y sanciona o lo damos a conocer por las redes sociales ...",es,[],[],1518665434823860228,1518665434823860228,rafaelm91397079,rafael martinez rodriguez,2,08,https://twitter.com/rafaelm91397079/status/1559537718048264193,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
5,1559531850141470723,1554174265066491905,1660656342000.0,2022-08-16 08:25:42,-0500,,"@AlmiranteSrio @AlmiranteSrio  Investigue una situación que sucedio en el club naval de la ciuddad de Coatzacoalcos ya que sus subordinados parecieran que no les pagan por que agarran de hotel ese lugar los de la @SEMAR_mx Y ES UNAVERGUENZA, un llamado de atencion @lopezobrador_",es,[],[],1518665434823860228,1518665434823860228,rafaelm91397079,rafael martinez rodriguez,2,08,https://twitter.com/rafaelm91397079/status/1559531850141470723,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
6,1559526036676775937,1554174265066491905,1660654956000.0,2022-08-16 08:02:36,-0500,,"@AlmiranteSrio Sr. @AlmiranteSrio  Rafael Ojeda,el ¿club naval de la ciudad de Coatzacoalcos es administrada por la @SEMAR_mx  o por un particular?,¿les pagan bien a sus marinos? por que se nota que no les alcanza para pagar un hotel ...",es,[],[],1518665434823860228,1518665434823860228,rafaelm91397079,rafael martinez rodriguez,2,08,https://twitter.com/rafaelm91397079/status/1559526036676775937,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'AlmiranteSrio', 'name': 'Rafael Ojeda', 'id': '981644353'}]",,,,
7,1559240286701756416,1559240286701756416,1660586828000.0,2022-08-15 13:07:08,-0500,,"@AlmiranteSrio requiero xfa el helicóptero a la 13.30 d la @SEMAR_mx y d @OlmecasTabasco para ir a comer unas quesadillas y unas tostadas al mercado d #Coyoacán,  muchas gracias,  ya q ya me dio hambre",es,['coyoacán'],[],54237193,54237193,HectorReneMonte,H🦅É🦅C🦅T🦅O🦅R🦅R🦅E🦅N🦅E🇺🇦,1,13,https://twitter.com/HectorReneMonte/status/1559240286701756416,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
8,1559221928082251782,1559221928082251782,1660582451000.0,2022-08-15 11:54:11,-0500,,"@AlmiranteSrio ¿no que se había utilizado la aeronave para llevar a la banda de guerra y a la escolta a la bandera?  Ahora resulta que se usó para acercar a la Marina al pueblo. Qué triste qué la Marina haga lo mismo que su jefe, el Tirano  @lopezobrador_   https://t.co/6UESO9RyIN",es,[],[],191730782,191730782,HAYUSO46,HECTOR M. AYUSO,1,11,https://twitter.com/HAYUSO46/status/1559221928082251782,['https://www.sopitas.com/noticias/justificacion-marina-semar-helicoptero-mascota-olmecas-tabasco-beisbol/'],[],0,,False,0,0,0,,None,,,,,,,[],,,,
9,1558904923202412552,1558904923202412552,1660506871000.0,2022-08-14 14:54:31,-0500,,"@AlmiranteSrio no sean mentirosos como su comandante, el tirano @lopezobrador_, en el video solo se ve bajar de helicoptero no más de 4 marinos y la botarga. ¿En que transporte llevaron a la banda de guerra y a la escolta.?porque en la aeronave NO.   https://t.co/lHZNMzPs2w",es,[],[],191730782,191730782,HAYUSO46,HECTOR M. AYUSO,7,14,https://twitter.com/HAYUSO46/status/1558904923202412552,['https://www.proceso.com.mx/nacional/2022/8/12/el-helicoptero-se-uso-para-llevar-marinos-la-ceremonia-de-playoffs-de-la-lmb-justifica-la-semar-291396.html'],[],0,,False,0,0,0,,None,,,,,,,[],,,,
